id,hotel_name,hotel_rating,hotel_experience,amenities,address,country
5833,La Foret d'Aslan,,,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Pets Allowed ( Dog / Pet Friendly )', 'Kitchenette']",751 Chemin de la Grotte Roxton Falls Quebec,Canada
5834,Cable Head B&B & Efficiency Suites,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Non-smoking rooms']",14988 Northside Rd- Rte 16 Saint Peters Bay Prince Edward Island,Canada
5835,St. Peters Bayview Suites,4,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Hot Tub', 'Non-smoking hotel', 'Public Wifi', 'Ski-In / Ski-Out', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",5560 Rte 2 Saint Peters Bay Prince Edward Island,Canada
5836,Tumbler Ridge Hotel and Suites,4,Very good,"['Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",360 Northgate Drive Tumbler Ridge British Columbia,Canada
5837,Sandstone Motel,4,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Room service', 'Breakfast Available', 'Golf Course', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",212 8th Ave NW Milk River Alberta,Canada
5838,Hilltop Ranch Bed & Breakfast,4.5,,[],24202-178 Ave. SW ,Canada
5839,Kumsheen Rafting Resort,4.5,Excellent,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Wheelchair Access', 'Non-smoking rooms']",1345 Hwy 1 Lytton British Columbia,Canada
5840,Lytton Hotel,3.5,,[],538 Main Street ,Canada
5841,Rocky Ridge Country Lodge,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",523 2nd Street North Mountain View Alberta,Canada
5842,Prime View - Best Location,,,[], Mountain View Alberta,Canada
5843,Caswell Resort Hotel,2.5,Average,"['Pool', 'Restaurant', 'Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Business Centre with Internet Access', 'Indoor pool', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']", ,Canada
5844,Lund Resort at Klah Ah Men,3.5,Very good,"['Restaurant', 'Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",1436 Highway 101 Lund British Columbia,Canada
5845,Lund Seaside Inn,5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Family Rooms', 'Non-smoking rooms']",9844 Sevilla Island Lund British Columbia,Canada
5846,Best Western Plus Liverpool Hotel & Conference Centre,4.5,Excellent,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Free parking', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",63 Queens Place Drive Liverpool Nova Scotia,Canada
5847,Hotel Le Francis,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",21 New Richmond Quebec,Canada
5848,Brake Bayside Boutique Historic Inn,,,[],233 Perron Blvd ,Canada
5850,Cedars of Lake Eugenia - Cottage Resort,5,Excellent,"['Free parking', 'Pool', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",134 Cedars Resort Flesherton Ontario,Canada
5851,Tahitian Noni Place B&B,4.5,Excellent,[], ,Canada
5852,MacLellan Inn,4.5,Excellent,"['Free parking', 'Breakfast included', 'Room service', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Wheelchair Access', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",Rr#1 Doyles Newfoundland and Labrador,Canada
5853,Martin's Cabins,3,,[],Upper Ferry ,Canada
5854,Motel Invitation Inn,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']", ,Canada
5855,Hotel-Motel La Difference,4.5,,[],425 route Cameron ,Canada
5856,Kildonan House B&B,,,[],71 Kirk Street Clinton,Canada
5857,Domaine Annie Sur Mer,4,Very good,"['Restaurant', 'Pool', 'Free parking', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Hot Tub', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",387 Chemin Patton Metis-sur-Mer Quebec,Canada
5858,Motel A La Claire Fontaine,2,Poor,"['Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms']",2165 rue Saint-Calixte Plessisville Quebec,Canada
5859,King Neptune Campground,,,[],8536 Peggys Cove Rd Indian Harbour Nova Scotia,Canada
5860,Clifty Cove Motel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",8444 Peggys Cove Rd Indian Harbour Nova Scotia,Canada
5861,Motel Grande-ile,2.5,Average,"['Free High Speed Internet (WiFi)', 'Room service', 'Free parking', 'Restaurant', 'Children Activities (Kid / Family Friendly)', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",121 Salaberry-de-Valleyfield Quebec,Canada
5862,Flotel,,,[],240 Rue Victoria ,Canada
5863,Pine Grove Point Campground,4.5,,[],4445 Elephant Lake Road ,Canada
5864,Florenceville Inn,3.5,Very good,"['Pool', 'Free High Speed Internet (WiFi)', 'Free parking', 'Breakfast included', 'Room service', 'Restaurant', 'Business Centre with Internet Access', 'Indoor pool', 'Meeting rooms', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms']",239 Burnham Rd Florenceville-Bristol New Brunswick,Canada
5865,Yesteryears  Bed & Breakfast,,,[],2775 Highway #3 Pubnico Nova Scotia,Canada
5866,Auberge de la Coulee Douce,4,Very good,"['Air conditioning', 'Refrigerator in room']",2 Causapscal Quebec,Canada
5867,Gite des Tilleuls,3,Average,"['Free High Speed Internet (WiFi)', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",107 Rue Saint-Jacques Sud Causapscal Quebec,Canada
5868,Grove Motel,,,[],30 Brunswick St St. George New Brunswick,Canada
5869,Malpeque Bed and Breakfast,,,[],222 Baseline Rd Malpeque Prince Edward Island,Canada
5870,Malpeque Country Garden Motel & Cottages,5,,[],304 King St ,Canada
5871,Wild Goose Motel & Campground,2.5,Average,"['Restaurant', 'Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Minibar', 'Kitchenette']",109 Highway 51 Kerrobert Saskatchewan,Canada
5872,Super 8 by Wyndham Smoky Lake,3.5,Very good,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",5404-44 Avenue Smoky Lake Alberta,Canada
5873,Smoky Lake Inn,3,,[],4 Wheatland Avenue ,Canada
5874,Room To Grow Guesthouse,4.5,,[],Max Lake Road ,Canada
5875,Motel de la Gare,4,Very good,[], ,Canada
5876,The Big Blow Bed & Breakfast,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",1 Quirpon Road Quirpon Island Newfoundland and Labrador,Canada
