id,hotel_name,hotel_rating,hotel_experience,amenities,address,country
1,Niagara Falls Marriott Fallsview Hotel & Spa,4,Very good,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Room service', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Public Wifi', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",6740 Fallsview Blvd Niagara Falls Ontario,Canada
2,Fairmont Royal York,4.5,Excellent,"['Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Pool', 'Free Internet', 'Spa', 'Airport transportation', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",100 Front Street W Toronto Ontario,Canada
3,Blue Horizon Hotel,4.5,Excellent,"['Pool', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",1225 Robson St Vancouver British Columbia,Canada
4,Fairmont Le Chateau Frontenac,4.5,Excellent,"['Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Pool', 'Free Internet', 'Spa', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1 Rue des Carrieres Quebec City Quebec,Canada
5,Rimrock Resort Hotel,4.5,Excellent,"['Pool', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",300 Mountain Avenue Alberta,Canada
6,Niagara Falls Marriott on the Falls,4,Very good,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Breakfast Available', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Public Wifi', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",6755 Fallsview Boulevard Niagara Falls Ontario,Canada
7,The Burrard,4,Very good,"['Free High Speed Internet (WiFi)', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",1100 Burrard St Vancouver British Columbia,Canada
8,One King West Hotel & Residence,4.5,Excellent,"['Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1 King Street West Toronto Ontario,Canada
9,Le Square Phillips Hotel & Suites,4.5,Excellent,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1193 Place Phillips Montreal Quebec,Canada
10,Banff Park Lodge Resort and Conference Centre,4,Very good,"['Pool', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",222 Lynx Street Alberta,Canada
11,Best Western Plus Waterfront Hotel,4,Very good,"['Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Pool', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",277 Riverside Dr W Windsor Ontario,Canada
12,"Country Inn & Suites by Radisson, Niagara Falls, ON",4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",5525 Victoria Avenue Niagara Falls Ontario,Canada
13,Best Western Plus Chateau Granville,4,Very good,"['Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",1100 Granville St Vancouver British Columbia,Canada
14,Novotel Toronto Centre,,,[],45 The Esplanade Toronto Ontario,Canada
15,"The Westin Trillium House, Blue Mountain",4,Very good,"['Pool', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Shuttle Bus Service', 'Ski-In / Ski-Out', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",220 Gord Canning Drive Blue Mountains Ontario,Canada
16,Hotel Le Dauphin Montreal Centre-Ville,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",1025 de Bleury Street Montreal Quebec,Canada
17,Chateau Victoria Hotel and Suites,4.5,Excellent,"['Pool', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",Chateau Victoria 740 Burdett Ave Victoria British Columbia,Canada
18,L'Hermitage Hotel,5,Excellent,"['Pool', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Room service', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",788 Richards Street Vancouver British Columbia,Canada
19,Hotel Grand Pacific,4.5,Excellent,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",463 Belleville Street Victoria British Columbia,Canada
20,Lord Elgin,4.5,Excellent,"['Restaurant', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",100 Elgin St Ottawa Ontario,Canada
21,Le Saint-Sulpice,4.5,Excellent,"['Restaurant', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",414 Saint-Sulpice Montreal Quebec,Canada
22,Moose Hotel and Suites,4.5,Excellent,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",345 Banff Avenue Alberta,Canada
23,Pan Pacific Vancouver,4.5,Excellent,"['Pool', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Free Internet', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Paid Internet', 'Paid Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",300-999 Canada Place Way Vancouver British Columbia,Canada
24,Coast Coal Harbour Vancouver Hotel by APA,4.5,Excellent,"['Pool', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms', 'Suites']",1180 West Hastings Street Vancouver British Columbia,Canada
25,Fairmont Chateau Lake Louise,4.5,Excellent,"['Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Spa', 'Pool', 'Free Internet', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",111 Lake Louise Drive Alberta,Canada
26,Summit Lodge Boutique Hotel,,,[],4359 Main St Whistler British Columbia,Canada
27,Delta Hotels by Marriott Toronto,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Pool', 'Room service', 'Restaurant', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",75 Lower Simcoe Street Toronto Ontario,Canada
28,Acclaim Hotel Calgary Airport,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']",123 Freeport Blvd NE Calgary Alberta,Canada
29,Hotel Le Priori,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Babysitting', 'Concierge', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms', 'Suites']",15 rue Sault-au-Matelot Quebec City Quebec,Canada
30,Radisson Admiral Toronto Harbourfront,,,[],249 Queen's Quay West Toronto Ontario,Canada
31,Mount Robson Inn,4,Very good,"['Free High Speed Internet (WiFi)', 'Free parking', 'Breakfast included', 'Hot Tub', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",902 Connaught Dr (Main Street) Alberta,Canada
32,Crimson Jasper,4,Very good,"['Free High Speed Internet (WiFi)', 'Restaurant', 'Pool', 'Free parking', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",200 Connaught Dr Alberta,Canada
33,Bear Hill Lodge,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Hot Tub', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",100 Bonhomme Road Alberta,Canada
34,Chateau Jasper,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",96 Geikie St Alberta,Canada
35,Maligne Lodge,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",912 Connaught Dr. Alberta,Canada
36,Marmot Lodge,4,Very good,"['Restaurant', 'Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Breakfast Available', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",86 Connaught Drive Alberta,Canada
38,Tonquin Inn,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Air conditioning', 'Kitchenette', 'Non-smoking rooms', 'Suites']",100 Juniper Avenue Alberta,Canada
39,Fairmont Jasper Park Lodge,4,Very good,"['Free parking', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Pool', 'Spa', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Golf Course', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Tennis Court', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",Old Lodge Road Jasper Alberta,Canada
40,Sawridge Inn and Conference Centre Jasper,4,Very good,"['Pool', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Spa', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",76 Connaught Drive Alberta,Canada
41,Lobstick Lodge,3,Average,"['Pool', 'Restaurant', 'Free parking', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",94 Geikie St Alberta,Canada
42,Pyramid Lake Resort,,,[],Pyramid Lake Road Alberta,Canada
43,Jasper Inn & Suites,4,Very good,"['Free High Speed Internet (WiFi)', 'Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Microwave', 'Kitchenette', 'Non-smoking rooms', 'Suites']",98 Geikie Street Alberta,Canada
44,Athabasca Hotel,3.5,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Non-smoking rooms']",510 Patricia St Alberta,Canada
45,Whistlers Inn,3.5,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Hot Tub', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",105 Miette Drive Alberta,Canada
46,HI Jasper,3.5,Very good,"['Free parking', 'Non-smoking hotel', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",1 Skytram Road Alberta,Canada
47,Astoria Hotel,2.5,Average,"['Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Laundry Service', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",404 Connaught Drive Alberta,Canada
48,Sleepy Bear Inn,,,[],818 Patricia Street Alberta,Canada
49,Overlander Mountain Lodge,4,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Breakfast Available', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']",27010 Highway 16 Alberta,Canada
50,Patricia Lake Bungalows Resort,4.5,Excellent,"['Free parking', 'Free Internet', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",Pyramid Lake Road Alberta,Canada
51,The White Brick Inn,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",201 Geikie Street Alberta,Canada
52,Park Place Inn,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",623 Patricia Street Alberta,Canada
53,Fitzhugh House,,,[],119 Patricia St. Alberta,Canada
54,Pyramid Guest House,,,[],903 Pyramid Lake Road Alberta,Canada
55,Pine Bungalows,4,Very good,"['Free parking', 'Free Internet', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms']",2 Cottonwood Creek Road Alberta,Canada
56,Celtic Haven,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Refrigerator in room', 'Non-smoking rooms']",916 Bonhomme Street Alberta,Canada
57,B&B on Balsam,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Free parking', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Non-smoking rooms']",311 Balsam Ave Alberta,Canada
58,105 Patricia Street Accommodation,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",105 Patricia Street Alberta,Canada
59,All Seasons Accommodations,,,[],708 Patricia Street Alberta,Canada
60,HI-Beauty Creek Wilderness Hostel,4.5,Excellent,"['Free parking', 'Children Activities (Kid / Family Friendly)', 'Wheelchair Access', 'Refrigerator in room']",Hwy 93 North Alberta,Canada
62,HI-Maligne Canyon Wilderness Hostel,4,Very good,['Free parking'],Maligne Lake Road Alberta,Canada
63,Alpine Manor,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Kitchenette']",723 Patricia Street Alberta,Canada
64,804 Miette Guest House,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",804 Miette Avenue Alberta,Canada
65,Doe a Deer Accommodation,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Pool', 'Free parking', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette']",400 Pyramid Lake Road Alberta,Canada
66,Blue Moose Inn,4,Very good,"['Free High Speed Internet (WiFi)', 'Pets Allowed ( Dog / Pet Friendly )', 'Refrigerator in room']",909 Pyramid Lake Road Alberta,Canada
67,Cabin Creek Jasper,4,Very good,"['Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Refrigerator in room', 'Non-smoking rooms']",1220 Cabin Creek Drive Alberta,Canada
68,Cedargate,4.5,,[],108 Connaught Dr. Alberta,Canada
69,Irma Fadi Accommodations,5,,[],306 Geikie Street Alberta,Canada
70,316 Patricia Street,4,,[],316 Patricia Street Alberta,Canada
71,Calla's Palace,2.5,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel']",717 Geikie St Alberta,Canada
