id,hotel_name,hotel_rating,hotel_experience,amenities,address,country
800,Manitoulin Hotel & Conference Centre,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",66 Meredith East Little Current Ontario,Canada
801,Manitoulin Inn,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms']",2070 Highway 551 Mindemoya Ontario,Canada
802,Mindemoya Motel,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",6375 542 Hwy Mindemoya Ontario,Canada
803,Cedarwood Lodge,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",40 Cranston Rd Ontario P,Canada
804,The Hawberry Motel,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",36 Meredith St Little Current Ontario,Canada
805,Southbay Guesthouse & cottages,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",15 Givens Road South Baymouth Ontario,Canada
806,Maple Grove Cottages,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",77 Digby Side Road Mindemoya Ontario,Canada
807,Buck Horn Motel,4,Very good,"['Free Internet', 'Free parking', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",21076 Hwy 6 South Baymouth Ontario,Canada
808,White Sea Resort,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Public Wifi', 'Kitchenette']",25528 540 Hwy Meldrum Bay Ontario,Canada
809,Evergreen Resort,3.5,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Golf Course', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",11059 Hwy 540 Gore Bay Ontario,Canada
810,Mac's Camp,4.5,,[],720 Perivale Rd W ,Canada
811,Lake Wolsey Cabins,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Microwave', 'Refrigerator in room', 'Kitchenette']",Gordon Twp 14605 Hwy 540 Gore Bay Ontario,Canada
812,Huron Sands Motel,3,Average,"['Free High Speed Internet (WiFi)', 'Breakfast Available', 'Multilingual Staff', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",5216 551 Hwy Ontario P,Canada
813,Lakeview Resort,3.5,Very good,['Kitchenette'],879 Lakeshore Rd Kagawong Ontario,Canada
814,Rockville Inn B&B,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Kitchenette', 'Non-smoking rooms']",Rr 1 Mindemoya Ontario,Canada
815,Batman's Cottages & Campground,4.5,Excellent,"['Free Internet', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )']",11408 6 Hwy Sheguiandah Ontario,Canada
816,Mindemoya Court Cottages & Campground,,,[],604 Ketchankooken Trail Mindemoya Ontario,Canada
817,On the Bay Bed & Breakfast,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Non-smoking rooms']",12 Mutchmor Street Providence Bay Ontario,Canada
818,Anchor Inn Hotel,4,Very good,"['Restaurant', 'Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Business Centre with Internet Access', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",1 Water Street Little Current Ontario,Canada
819,South Bay Resort,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Multilingual Staff', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Refrigerator in room']",21214 Hwy 6 South Baymouth Ontario,Canada
820,The Buckhorn Motel,4,Very good,"['Free Internet', 'Free parking', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking rooms']",21076 Highway #6 Ontario P,Canada
821,The Inn at Gore Bay,5,Excellent,"['Free parking', 'Breakfast included', 'Room service', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms']",1 Water St Gore Bay Ontario,Canada
822,Gordon's Park,4,Very good,"['Pool', 'Free parking', 'Free Internet', 'Children Activities (Kid / Family Friendly)', 'Public Wifi']",18777 Hwy 6 Tehkummah Ontario,Canada
823,The Stonehouse B&B,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",29 Phipps St Gore Bay Ontario,Canada
824,Timberlane Rustic Lodges,5,Excellent,"['Free parking', 'Restaurant', 'Babysitting', 'Banquet Room', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms']",249 Mill Rd Ontario P,Canada
825,Shaftesbury Inn,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Air conditioning']",19 Robinson Little Current,Canada
826,Rockgarden Terrace Resort,4.5,Excellent,"['Restaurant', 'Pool', 'Free parking', 'Spa', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",1358 Monument Rd Spring Bay Ontario,Canada
827,Huron Motor Lodge,3.5,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",24 Water. St South Baymouth Ontario,Canada
828,Mountain View Resort,4.5,Excellent,['Kitchenette'],Silver Bay Road Mindemoya Ontario,Canada
829,Red Rooster Inn B&B,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Children Activities (Kid / Family Friendly)', 'Suites']",5382 551 Hwy Providence Bay Ontario,Canada
830,Quintina’s Clothier and Guest House,5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Public Wifi', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms']",9318 542 Hwy Spring Bay Ontario,Canada
831,Paradise Motel,4,Very good,"['Free Internet', 'Free parking', 'Refrigerator in room', 'Non-smoking rooms']",10844 Highway 6 Sheguiandah Ontario,Canada
832,Hide Away Lodge,5,,[],Newburn Road ,Canada
